task_id,method_id,resolution,precision_class,platform,clean_runtime_ms_median,peak_process_gpu_memory_mib_median,power_energy_per_match_j_median,clean_runtime_status,memory_status,power_status,oom_status,power_scope,clean_runtime_valid_pair_count,memory_valid_pair_count,power_valid_pair_count
sthereo_day_night_thermal_thermal,dkm,256,fp32,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
sthereo_day_night_thermal_thermal,dkm,256,mp,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
sthereo_day_night_thermal_thermal,dkm,512,fp32,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
sthereo_day_night_thermal_thermal,dkm,512,mp,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
sthereo_day_night_thermal_thermal,dkm,1024,fp32,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
sthereo_day_night_thermal_thermal,dkm,1024,mp,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
sthereo_day_night_thermal_thermal,efficientloftr,128,fp16,orin,110.2108725,422.0347318649292,0.2965374176028563,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,efficientloftr,128,fp32,orin,104.0649075,712.6737337112427,0.4191884683827692,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,efficientloftr,128,mp,orin,125.2694335,710.0338106155396,0.3420800306818723,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,efficientloftr,256,fp16,orin,128.052622,678.0347623825073,0.6085587812596364,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,efficientloftr,256,fp32,orin,141.4563765,988.6737337112428,1.033656261304195,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,efficientloftr,256,mp,orin,145.399497,972.0338411331176,0.6698358633796924,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,efficientloftr,512,fp16,orin,249.6711075,1700.034762382507,1.7189347383466664,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,efficientloftr,512,fp32,orin,360.9101515,2162.033749580384,3.2330087971463533,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,efficientloftr,512,mp,orin,272.92453850000004,2068.03381061554,1.849565192101818,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,efficientloftr,1024,fp16,orin,1134.150902,4396.034762382507,8.046540242026666,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,efficientloftr,1024,fp32,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
sthereo_day_night_thermal_thermal,efficientloftr,1024,mp,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
sthereo_day_night_thermal_thermal,loftr,128,fp16,orin,70.662496,184.03806018829343,0.2496321144109268,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,loftr,128,fp32,orin,68.61462449999999,244.67697048187256,0.4461944153359058,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,loftr,128,mp,orin,84.1418195,226.03710842132568,0.2927904910475294,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,loftr,256,fp16,orin,75.43128250000001,418.0380601882935,0.5259899653554857,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,loftr,256,fp32,orin,138.8489805,428.6769399642944,1.3108296431553488,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,loftr,256,mp,orin,84.9926465,474.0371084213257,0.577784625627962,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,loftr,512,fp16,orin,211.7644925,1432.0380601882937,1.8112986584457145,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,loftr,512,fp32,orin,491.4953165,1384.0369863510132,4.784180884194461,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,loftr,512,mp,orin,231.0778985,1414.0371084213257,2.0093588101636923,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,loftr,1024,fp16,orin,947.280063,4654.0380601882935,7.723170780580571,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,loftr,1024,fp32,orin,2108.647452,4286.037016868591,19.846031226368,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,loftr,1024,mp,orin,1033.507243,3730.0371084213257,8.588278973642666,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,mast3r,128,fp32,orin,222.5690785,2836.163827896118,2.1334285131151747,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,mast3r,128,mp,orin,234.6143225,2836.1638584136963,1.44263931012608,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,mast3r,256,fp32,orin,692.790353,3418.16379737854,7.406275057358222,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,mast3r,256,mp,orin,474.3039645,3444.1638584136963,3.849280094956308,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,mast3r,512,fp32,orin,3986.5152075,4198.196764945984,36.91108740884479,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
