task_id,method_id,resolution,precision_class,n_pairs,pose_valid,pose_auc_5,pose_auc_10,pose_auc_20,success_count_5,success_count_10,success_count_20
sthereo_day_night_thermal_thermal,superpoint-superglue,128,mp,100,96,0.5874129949439633,2.1478507044093287,8.354224184477523,1,7,23
sthereo_day_night_thermal_thermal,superpoint-superglue,256,fp16,100,100,4.113612312608477,13.56331200280822,29.54970769689177,12,33,52
sthereo_day_night_thermal_thermal,superpoint-superglue,256,fp32,100,98,1.200505883068694,7.620260014396378,22.02159649567618,6,23,44
sthereo_day_night_thermal_thermal,superpoint-superglue,256,mp,100,100,3.849851781805472,9.477060014487718,23.09385010374286,8,24,46
sthereo_day_night_thermal_thermal,superpoint-superglue,512,fp16,100,100,8.925160571858598,22.42366197083795,38.77604414598993,26,43,65
sthereo_day_night_thermal_thermal,superpoint-superglue,512,fp32,100,100,12.755403528576077,23.9334923423266,37.42058353653647,28,43,56
sthereo_day_night_thermal_thermal,superpoint-superglue,512,mp,100,100,14.09230449935064,28.10928244014053,43.14064146621915,33,49,63
sthereo_day_night_thermal_thermal,superpoint-superglue,1024,fp16,100,87,4.05330514789912,8.330725637680688,15.575173320249393,8,17,27
sthereo_day_night_thermal_thermal,superpoint-superglue,1024,fp32,100,87,4.439550908441108,9.491938068526842,18.32051581489109,10,18,31
sthereo_day_night_thermal_thermal,superpoint-superglue,1024,mp,100,85,2.1745926679336613,5.464871418565622,13.43946167511882,5,13,27
sthereo_day_night_vis_vis,dkm,128,fp32,100,100,1.4316694156942085,4.749544186460349,12.15911673271591,4,12,27
sthereo_day_night_vis_vis,dkm,128,mp,100,100,1.2483809292488013,4.237179419070214,11.51421180941248,3,10,23
sthereo_day_night_vis_vis,dkm,256,fp32,100,100,1.0985217933690417,5.005610443213049,11.30789694453412,3,11,26
sthereo_day_night_vis_vis,dkm,256,mp,100,100,1.9034012250234853,5.55995200802318,11.225932060373896,5,12,25
sthereo_day_night_vis_vis,dkm,512,fp32,100,100,1.442609931267413,4.840391753175748,10.679730061884364,5,11,21
sthereo_day_night_vis_vis,dkm,512,mp,100,100,1.47469799169327,5.662043876675129,11.152232130733394,5,14,19
sthereo_day_night_vis_vis,dkm,1024,fp32,100,100,1.5406789408738604,4.153980479138894,10.435792694127086,4,10,24
sthereo_day_night_vis_vis,dkm,1024,mp,100,100,1.2114785005018325,3.1614116103791225,9.222834287322502,2,6,25
sthereo_day_night_vis_vis,efficientloftr,128,fp16,100,0,0.0,0.0,0.0,0,0,0
sthereo_day_night_vis_vis,efficientloftr,128,fp32,100,0,0.0,0.0,0.0,0,0,0
sthereo_day_night_vis_vis,efficientloftr,128,mp,100,0,0.0,0.0,0.0,0,0,0
sthereo_day_night_vis_vis,efficientloftr,256,fp16,100,100,0.6199705131194799,1.7860985911528082,6.746478255960367,1,4,18
sthereo_day_night_vis_vis,efficientloftr,256,fp32,100,100,0.0,1.4842757327783085,6.470494694020246,0,7,21
sthereo_day_night_vis_vis,efficientloftr,256,mp,100,100,0.6585953713890467,3.6886381240232495,9.103077604242072,2,10,22
sthereo_day_night_vis_vis,efficientloftr,512,fp16,100,100,2.014082952027546,4.71984798621188,10.107407688776629,4,11,21
sthereo_day_night_vis_vis,efficientloftr,512,fp32,100,100,0.7278515668475924,3.966595664491078,9.991749461268014,1,11,18
sthereo_day_night_vis_vis,efficientloftr,512,mp,100,100,1.2957455071395816,5.091487669467874,9.99783479597552,4,12,16
sthereo_day_night_vis_vis,efficientloftr,1024,fp16,100,100,0.9654198510295484,3.4218763279694766,7.487428571363599,3,8,15
sthereo_day_night_vis_vis,efficientloftr,1024,fp32,100,100,2.273154862581505,5.978432846335201,10.890508286321712,5,13,20
sthereo_day_night_vis_vis,efficientloftr,1024,mp,100,100,0.8652158558421431,3.5476434864603874,8.422490544037506,2,8,18
sthereo_day_night_vis_vis,loftr,128,fp16,100,36,0.0,0.0,1.1040314557346065,0,0,4
sthereo_day_night_vis_vis,loftr,128,fp32,100,36,0.0,0.0,0.67210428462468,0,0,3
sthereo_day_night_vis_vis,loftr,128,mp,100,37,0.0,0.0,0.9316758851349092,0,0,4
sthereo_day_night_vis_vis,loftr,256,fp16,100,97,0.0,1.59023877675298,5.376586042366043,0,4,11
sthereo_day_night_vis_vis,loftr,256,fp32,100,97,0.0,0.9540529133500932,3.604971190457044,0,2,9
sthereo_day_night_vis_vis,loftr,256,mp,100,97,0.0,1.5811657349513626,5.330960530265009,0,4,12
sthereo_day_night_vis_vis,loftr,512,fp16,100,100,1.2409692726260362,4.184315147197039,8.309599302535366,5,9,18
sthereo_day_night_vis_vis,loftr,512,fp32,100,100,1.7111128709615346,4.836841853821948,9.806930723486197,5,9,18
sthereo_day_night_vis_vis,loftr,512,mp,100,100,1.4627087492953768,4.292195551796961,8.298709225952214,5,9,16
sthereo_day_night_vis_vis,loftr,1024,fp16,100,100,2.527246905846526,6.473403542455756,12.339115502968964,7,13,24
